batch	sample.id	num.reads	num.spiked.reads	pct.spiked.reads	pct.unspiked.reads
LIB170111LC	S105	609647	561020	92.0237448884354	7.9762551115646
LIB170111LC	S106	871833	800206	91.7843210798398	8.2156789201602
LIB170111LC	S107	873908	797536	91.2608649880765	8.73913501192349
LIB170111LC	S108	643102	588286	91.4763132442443	8.5236867557557
LIB170111LC	S109	857670	785452	91.5797451234158	8.4202548765842
LIB170111LC	S110	857243	781722	91.1902459395994	8.80975406040061
LIB170111LC	S111	760180	697386	91.7395879923176	8.2604120076824
LIB170111LC	S112	753666	689478	91.4832299718974	8.5167700281026
LIB170111LC	S113	655026	603682	92.1615325193198	7.83846748068019
LIB170111LC	S114	695305	641583	92.2736065467673	7.7263934532327
LIB170111LC	S125	711865	650331	91.355945298617	8.644054701383
LIB170111LC	S126	667445	604738	90.6049187573508	9.3950812426492
LIB170111LC	S127	731733	661983	90.4678345790063	9.53216542099371
LIB170111LC	S128	734987	655519	89.1878359753302	10.8121640246698
LIB170111LC	S129	672107	609202	90.6406271620441	9.3593728379559
LIB170111LC	S130	668261	599999	89.785128864321	10.214871135679
LIB170111LC	S131	607429	532483	87.661767877398	12.338232122602
LIB170111LC	S132	661688	599711	90.6335009853587	9.36649901464131
LIB170111LC	S133	1070381	962622	89.9326501498065	10.0673498501935
LIB170111LC	S134	962902	861827	89.5030854645644	10.4969145354356
