batch	sample.id	num.reads	num.spiked.reads	pct.spiked.reads	pct.unspiked.reads
LIB170111LC	S105	609647	592396	97.1703297153927	2.8296702846073
LIB170111LC	S106	871833	848696	97.3461660662076	2.6538339337924
LIB170111LC	S107	873908	849485	97.2053122296626	2.7946877703374
LIB170111LC	S108	643102	624070	97.0405938715787	2.95940612842131
LIB170111LC	S109	857670	834515	97.300243683468	2.699756316532
LIB170111LC	S110	857243	836194	97.5445702093805	2.4554297906195
LIB170111LC	S111	760180	739218	97.2424951985056	2.75750480149441
LIB170111LC	S112	753666	732959	97.2524964639509	2.74750353604909
LIB170111LC	S113	655026	637759	97.3639214321264	2.6360785678736
LIB170111LC	S114	695305	677260	97.4047360510855	2.59526394891451
LIB170111LC	S125	711865	695923	97.7605304376532	2.2394695623468
LIB170111LC	S126	667445	647664	97.036310107949	2.96368989205099
LIB170111LC	S127	731733	708184	96.7817496272548	3.2182503727452
LIB170111LC	S128	734987	714570	97.2221277383137	2.7778722616863
LIB170111LC	S129	672107	654167	97.3307821522466	2.6692178477534
LIB170111LC	S130	668261	651197	97.4465066792765	2.5534933207235
LIB170111LC	S131	607429	578094	95.1706289953229	4.8293710046771
LIB170111LC	S132	661688	645397	97.5379635115039	2.4620364884961
LIB170111LC	S133	1070381	1043228	97.4632397249204	2.5367602750796
LIB170111LC	S134	962902	937995	97.4133400906842	2.5866599093158
